epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
68,246.249,1.23408,0.42317,0.34685,0.62669,0.01775,1.65581,0.92567,0.85893,0.95559,0.55343,0.92567,0.85893,0.95559,0.91259,1.33694,0.27252,0.0862,0.83432,0.01968,0,0.00186734,0.00186734,0.00186734
69,249.978,1.08956,0.34058,0.32634,0.65021,0.01647,1.61884,0.85156,0.98911,0.97409,0.54523,0.85156,0.98911,0.97409,0.96165,1.57933,0.22403,0.08647,0.70768,0.02346,0,0.00186536,0.00186536,0.00186536
70,253.665,1.11791,0.37497,0.29206,0.54543,0.01625,1.51678,0.87282,0.91379,0.965,0.5198,0.87282,0.91379,0.965,0.89577,1.74024,0.35565,0.07764,0.66433,0.02602,0,0.00186338,0.00186338,0.00186338
71,257.276,1.13938,0.43948,0.34587,0.57232,0.01639,1.65495,0.89068,0.98329,0.98056,0.45287,0.89068,0.98329,0.98056,0.91934,1.90721,0.32398,0.08623,0.75409,0.03037,0,0.0018614,0.0018614,0.0018614
72,260.942,1.12716,0.40754,0.32539,0.5415,0.01718,1.59312,0.79538,0.94828,0.93823,0.59649,0.79538,0.94828,0.93823,0.91661,1.26279,0.21023,0.09865,0.63427,0.01821,0,0.00185942,0.00185942,0.00185942
73,264.634,1.1412,0.36263,0.31262,0.58805,0.01626,1.44854,0.92256,0.98276,0.98352,0.66711,0.90557,0.96552,0.95619,0.94726,1.21162,0.29009,0.08788,0.49711,0.01774,0,0.00185744,0.00185744,0.00185744
74,268.303,1.12521,0.32204,0.33931,0.59565,0.01609,1.3445,0.90116,0.89655,0.9711,0.57603,0.86316,0.87015,0.92945,0.89413,1.46769,0.38942,0.08295,0.56956,0.02278,0,0.00185546,0.00185546,0.00185546
75,271.991,1.15218,0.43047,0.34987,0.54677,0.01643,1.49991,0.9343,0.94828,0.98183,0.52081,0.91664,0.93103,0.95653,0.91967,1.69235,0.37834,0.08412,0.51792,0.02595,0,0.00185348,0.00185348,0.00185348
76,275.617,1.17387,0.37019,0.33183,0.60027,0.01762,1.52564,0.98769,0.91379,0.98837,0.54844,0.98769,0.91379,0.98837,0.95717,1.58114,0.21717,0.11169,0.47866,0.02367,0,0.0018515,0.0018515,0.0018515
77,279.24,1.13876,0.56359,0.35323,0.58765,0.01607,1.88624,0.93022,1,0.99106,0.66903,0.93022,1,0.99106,0.96586,1.25138,0.18472,0.11266,0.42944,0.01935,0,0.00184952,0.00184952,0.00184952
