Layer Name                                         | Shape                | Parameter Count
model.4.cv2.conv.weight                            | [64, 128, 1, 1]      | 8,192
model.4.cv2.bn.weight                              | [64]                 | 64
model.4.cv2.bn.bias                                | [64]                 | 64
model.4.cv2.bn.running_mean                        | [64]                 | 64
model.4.cv2.bn.running_var                         | [64]                 | 64
model.4.cv2.bn.num_batches_tracked                 | []                   | 1
model.4.m.0.cv1.conv.weight                        | [32, 32, 3, 3]       | 9,216
model.4.m.0.cv1.bn.weight                          | [32]                 | 32
model.4.m.0.cv1.bn.bias                            | [32]                 | 32
model.4.m.0.cv1.bn.running_mean                    | [32]                 | 32
model.4.m.0.cv1.bn.running_var                     | [32]                 | 32
model.4.m.0.cv1.bn.num_batches_tracked             | []                   | 1
model.4.m.0.cv2.conv.weight                        | [32, 32, 3, 3]       | 9,216
model.4.m.0.cv2.bn.weight                          | [32]                 | 32
model.4.m.0.cv2.bn.bias                            | [32]                 | 32
model.4.m.0.cv2.bn.running_mean                    | [32]                 | 32
model.4.m.0.cv2.bn.running_var                     | [32]                 | 32
model.4.m.0.cv2.bn.num_batches_tracked             | []                   | 1
model.4.m.1.cv1.conv.weight                        | [32, 32, 3, 3]       | 9,216
model.4.m.1.cv1.bn.weight                          | [32]                 | 32
model.4.m.1.cv1.bn.bias                            | [32]                 | 32
model.4.m.1.cv1.bn.running_mean                    | [32]                 | 32
model.4.m.1.cv1.bn.running_var                     | [32]                 | 32
model.4.m.1.cv1.bn.num_batches_tracked             | []                   | 1
model.4.m.1.cv2.conv.weight                        | [32, 32, 3, 3]       | 9,216
model.4.m.1.cv2.bn.weight                          | [32]                 | 32
model.4.m.1.cv2.bn.bias                            | [32]                 | 32
model.4.m.1.cv2.bn.running_mean                    | [32]                 | 32
model.4.m.1.cv2.bn.running_var                     | [32]                 | 32
model.4.m.1.cv2.bn.num_batches_tracked             | []                   | 1
model.5.conv.weight                                | [128, 64, 3, 3]      | 73,728
model.5.bn.weight                                  | [128]                | 128
model.5.bn.bias                                    | [128]                | 128
model.5.bn.running_mean                            | [128]                | 128
model.5.bn.running_var                             | [128]                | 128
model.5.bn.num_batches_tracked                     | []                   | 1
model.6.cv1.conv.weight                            | [128, 128, 1, 1]     | 16,384
model.6.cv1.bn.weight                              | [128]                | 128
model.6.cv1.bn.bias                                | [128]                | 128
model.6.cv1.bn.running_mean                        | [128]                | 128
model.6.cv1.bn.running_var                         | [128]                | 128
model.6.cv1.bn.num_batches_tracked                 | []                   | 1
model.6.cv2.conv.weight                            | [128, 256, 1, 1]     | 32,768
model.6.cv2.bn.weight                              | [128]                | 128
model.6.cv2.bn.bias                                | [128]                | 128
model.6.cv2.bn.running_mean                        | [128]                | 128
model.6.cv2.bn.running_var                         | [128]                | 128
